language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Gongxing		I	1209	1209	ŋa₄₂	7	ŋ a ⁴²	
Jinman		I	1209	1209	õ₄₂	7	õ ⁴²	
Mazhelong		I	1209	1209	ŋo₄₂	7	ŋ o ⁴²	
Dashi		I	1209	1209	ŋõ₃₁	7	ŋ õ ³¹	
Zhoucheng		I	1209	1209	ŋo₃₁	7	ŋ o ³¹	
Jinxing		I	1209	1209	wõ₃₁	7	w õ ³¹	
Tuolo		I	1209	1209	ŋɔ₂₁	7	ŋ ɔ ²¹	
Enqi		I	1209	1209	ɴo₄₃	7	ɴ o ⁴³	
Ega		I	1209	1209	ŋo₄₂	7	ŋ o ⁴²	
Gongxing		all	98	98	ʦʰæ₂₂ja₄₂	1	tsʰ æ ²² j a ⁴²	
Jinman		all	98	98	da₄₂t͡ʂɚ₂₂	202	d a ⁴² ʈʂ ə˞ ²²	
Mazhelong		all	98	98	so₂₁ji₂₁	233	s o ²¹ j i ²¹	
Dashi		all	98	98	ʨwan₄₂pu₅₅	259	tɕ w a n ⁴² p u ⁵⁵	
Zhoucheng		all	98	98	ji₃₁su₃₃	244	j i ³¹ s u ³³	
Jinxing		all	98	98	ʦa₃₅kɑ₂₁ʦi₃₃	2	ts a ³⁵ k ɑ ²¹ ts i ³³	
Tuolo		all	98	98	ʨʰa₅₅	33	tɕʰ a ⁵⁵	
Enqi		all	98	98	ʨa₂₄ʁo₂₁ʦi₂₂	3	tɕ a ²⁴ ʁ o ²¹ ts i ²²	
Ega		all	98	98	da₅₅ŋwa₂₂	201	d a ⁵⁵ ŋ w a ²²	
Gongxing		ashes	646	646	xwɛ₂₂ɕy₅₅ʁwa₁₂	58	x w ɛ ²² ɕ y ⁵⁵ ʁ w a ¹²	
Jinman		ashes	646	646	kʰwa₅₅la₂₁ɕu₅₅	88	kʰ w a ⁵⁵ l a ²¹ ɕ u ⁵⁵	
Mazhelong		ashes	646	646	xwa₃₁la₄₄su₅₅	59	x w a ³¹ l a ⁴⁴ s u ⁵⁵	
Zhoucheng		ashes	646	646	su₅₅	67	s u ⁵⁵	
Jinxing		ashes	646	646	su₅₅	67	s u ⁵⁵	
Tuolo		ashes	646	646	ʂɤ₅₅	67	ʂ ɤ ⁵⁵	
Enqi		ashes	646	646	xwi₂₂ɕu₂₄	57	x w i ²² ɕ u ²⁴	
Ega		ashes	646	646	xwa₅₅lo₂₁ɕu₅₅	59	x w a ⁵⁵ l o ²¹ ɕ u ⁵⁵	
Gongxing		bark	1204	1204	d͡ʐi₁₂bi₂₁	109	ɖʐ i ¹² b i ²¹	
Mazhelong		bark	1204	1204	ɕen₅₅pe₂₁	131	ɕ e n ⁵⁵ p e ²¹	
Dashi		bark	1204	1204	t͡ʂɯ₂₁pe₂₁	109	ʈʂ ɯ ²¹ p e ²¹	
Zhoucheng		bark	1204	1204	ʦɯ₃₁pe₂₁	109	ts ɯ ³¹ p e ²¹	
Jinxing		bark	1204	1204	ʦɯ₃₁pe₂₁	109	ts ɯ ³¹ p e ²¹	
Tuolo		bark	1204	1204	djɯ₂₁bi₃₅	109	d j ɯ ²¹ b i ³⁵	
Enqi		bark	1204	1204	djɯ₄₃pi₂₁	109	d j ɯ ⁴³ p i ²¹	
Ega		bark	1204	1204	ʥi₄₂ʨyj₂₁qa₅₅	110	dʑ i ⁴² tɕ y j ²¹ q a ⁵⁵	
Gongxing		belly	1251	1251	ʐi₂₁	147	ʐ i ²¹	
Jinman		belly	1251	1251	ʐɚ₄₂	147	ʐ ə˞ ⁴²	
Mazhelong		belly	1251	1251	pɯ₄₄	160	p ɯ ⁴⁴	
Dashi		belly	1251	1251	fo₄₄	160	f o ⁴⁴	
Zhoucheng		belly	1251	1251	fɤ₄₄	160	f ɤ ⁴⁴	
Jinxing		belly	1251	1251	fɤ₄₄	160	f ɤ ⁴⁴	
Tuolo		belly	1251	1251	fɚ₄₂	160	f ə˞ ⁴²	
Enqi		belly	1251	1251	fo₂₄	160	f o ²⁴	
Ega		belly	1251	1251	xu₄₄qʰo₂₂	171	x u ⁴⁴ qʰ o ²²	
Gongxing		big	1202	1202	da₄₂	191	d a ⁴²	
Jinman		big	1202	1202	do₄₂	191	d o ⁴²	
Mazhelong		big	1202	1202	do₄₂	191	d o ⁴²	
Dashi		big	1202	1202	tow₄₂	191	t o w ⁴²	
Zhoucheng		big	1202	1202	to₄₂	191	t o ⁴²	
Jinxing		big	1202	1202	tow₄₂	191	t o w ⁴²	
Tuolo		big	1202	1202	dɔ₂₁	191	d ɔ ²¹	
Enqi		big	1202	1202	da₄₃	191	d a ⁴³	
Ega		big	1202	1202	do₄₂	191	d o ⁴²	
Gongxing		bird	937	937	ʦu₂₄	203	ts u ²⁴	
Jinman		bird	937	937	ʦo₅₅	203	ts o ⁵⁵	
Mazhelong		bird	937	937	ʦo₄₄	203	ts o ⁴⁴	
Dashi		bird	937	937	ʦow₃₃	203	ts o w ³³	
Zhoucheng		bird	937	937	ʦow₄₄	203	ts o w ⁴⁴	
Jinxing		bird	937	937	ʦow₄₄	203	ts o w ⁴⁴	
Tuolo		bird	937	937	ʦu₄₂	203	ts u ⁴²	
Enqi		bird	937	937	ʦu₅₅	203	ts u ⁵⁵	
Ega		bird	937	937	ʦu₄₄	203	ts u ⁴⁴	
Gongxing		bite	1403	1403	ŋa₂₄	214	ŋ a ²⁴	
Jinman		bite	1403	1403	ŋa₄₄	214	ŋ a ⁴⁴	
