language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Changsha		I	1209	1209	ŋo⁴¹	1028	ŋ o ⁴¹	
Guiyang		I	1209	1209	ŋo⁴²	1028	ŋ o ⁴²	
Xiamen		I	1209	1209	gwa⁵³	1028	g w a ⁵³	
Hefei		I	1209	1209	ʊ²⁴	1028	ʊ ²⁴	
Jinan		I	1209	1209	və⁵⁵	1028	v ə ⁵⁵	
Jinan		I	1209	1209	ŋã⁵⁵	1029	ŋ ã ∼ ⁵⁵	
Hangzhou		I	1209	1209	ŋo⁵³	1028	ŋ o ⁵³	
Guangzhou		I	1209	1209	ŋɔ²³	1028	ŋ ɔ ²³	
Nanchang		I	1209	1209	ŋo²¹³	1028	ŋ o ²¹³	
Chengdu		I	1209	1209	ŋo⁵³	1028	ŋ o ⁵³	
Taoyuan		I	1209	1209	ɣɤ⁵³	1028	ɣ ɤ ⁵³	
Taoyuan		I	1209	1209	æ̃⁵³	1029	æ̃ ∼ ⁵³	
Shexian		I	1209	1209	a³¹	1030	a ³¹	
Beijing		I	1209	1209	wo²¹⁴	1028	w o ²¹⁴	
Kunming		I	1209	1209	o⁵³	1028	o ⁵³	
Shanghai		I	1209	1209	ŋu¹³	1028	ŋ u ¹³	
Meixian		a while	726	726	ha⁵³	78	h a ⁵³	
Changsha		a while	726	726	xa¹¹xaʦɿ	79	x a ¹¹ x a ⁰ ts ɿ	
Guiyang		a while	726	726	ʦen²¹³	81	ts e n ²¹³	
Guiyang		a while	726	726	xa²¹³	78	x a ²¹³	
Guiyang		a while	726	726	fen⁵⁵ʦoŋ⁵⁵	83	f e n ⁵⁵ ts o ŋ ⁵⁵	
Xiamen		a while	726	726	tʰjã⁵⁵ʦit⁵tjap³²ba⁵³ku	84	t j a p ³² b a ⁵³ k u	
Xiamen		a while	726	726	tʰjã⁵⁵tam²²poʔ⁵a⁵³ku⁵³	86	t a m ²² p o ʔ ⁵ a ⁵³ k u ⁵³	
Hefei		a while	726	726	ɕi²⁴kʰɐʔ⁵ʦə	87	ɕ i ²⁴ kʰ ɐ ʔ ⁵ ts ə	
Hefei		a while	726	726	ʂɐʔ⁵	88	ʂ ɐ ʔ ⁵	
Jinan		a while	726	726	xwer²¹	89	x w e r ²¹	
Hangzhou		a while	726	726	ɕjəʔ⁵əl	91	ɕ j ə ʔ ⁵ ə l	
Guangzhou		a while	726	726	ʦɐn²²	81	ts ɐ n ²²	
Nanchang		a while	726	726	ha²¹ʦɿ⁰²	80	h a ²¹ ts ɿ ⁰²	
Chengdu		a while	726	726	xər⁵⁵	78	x ə r ⁵⁵	
Taoyuan		a while	726	726	ʦəŋ⁴⁵ʦəŋ⁴⁵	82	ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵	
Shexian		a while	726	726	xã	78	x ã ∼	
Beijing		a while	726	726	i⁵⁵xwər²¹⁴	89	x w ə r ²¹⁴	
Kunming		a while	726	726	xᴀ²¹²	78	x a ²¹²	
Shanghai		a while	726	726	ɕjɪʔ⁵	90	ɕ j ɪ ʔ ⁵	
Meixian		and	1577	1577	tʰuŋ¹¹	268	tʰ u ŋ ¹¹	
Changsha		and	1577	1577	kən³³	270	k ə n ³³	
Guiyang		and	1577	1577	xo²¹	272	x o ²¹	
Guiyang		and	1577	1577	xo²¹ta⁴²	273	x o ²¹ t a ⁴²	
Guiyang		and	1577	1577	ʦʰan⁵⁵	277	tsʰ a n ⁵⁵	
Guiyang		and	1577	1577	ʦʰan⁵⁵ta⁴²	278	tsʰ a n ⁵⁵ t a ⁴²	
Xiamen		and	1577	1577	kap³²	279	k a p ³²	
Hefei		and	1577	1577	kən²¹	270	k ə n ²¹	
Jinan		and	1577	1577	xə⁴²	272	x ə ⁴²	
Jinan		and	1577	1577	kẽ²¹³	270	k ẽ ∼ ²¹³	
Jinan		and	1577	1577	ʨi⁴²	280	tɕ i ⁴²	
