language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
ANCIENT_GREEK	grc	sharp	1396	sharp	oksýs	sharp:C	o k s ý s	
GREEK	ell	sharp	1396	sharp	ˌko̞fte̞ˈro̞s	sharp:J	ˌk o̞ f t e̞ ˈr o̞ s	
CLASSICAL_ARMENIAN	xcl	sharp	1396	sharp	sowr	sharp:D	s o w r	
ARMENIAN_EASTERN	hye	sharp	1396	sharp	suɾ	sharp:D	s u ɾ	
OSSETIC	oss	sharp	1396	sharp	tsɨrʁ	sharp:A	t s ɨ r ʁ	
OSSETIC_IRON	oss	sharp	1396	sharp	syrʁ	sharp:A	s y r ʁ	
OSSETIC_DIGOR	oss	sharp	1396	sharp	čirʁ	sharp:A	č i r ʁ	
BIHARI	mai	sharp	1396	sharp	tejgər	sharp:A	t e j g ə r	
URDU	urd	sharp	1396	sharp	t̪ez	sharp:A	t̪ e z	
MARATHI	mar	sharp	1396	sharp	dʰaɾdaɾ	sharp:E	dʰ a ɾ d a ɾ	
MARATHI	mar	sharp	1396	sharp	ti:kʂɳə	sharp:A	t i: k ʂ ɳ ə	
OLD_CHURCH_SLAVONIC	chu	sharp	1396	sharp	ɔstrʊ̆	sharp:C	ɔ s t r ʊ̆	
SERBO-CROATIAN	srp	sharp	1396	sharp	ˈɔʃtar	sharp:C	ˈɔ ʃ t a r	
BULGARIAN	bul	sharp	1396	sharp	ˈɔstər	sharp:C	ˈɔ s t ə r	
MACEDONIAN	mkd	sharp	1396	sharp	ˈostar	sharp:C	ˈo s t a r	
RUSSIAN	rus	sharp	1396	sharp	ɔstrɨj	sharp:C	ɔ s t r ɨ j	
POLISH	pol	sharp	1396	sharp	ˈɔstrɘ̟	sharp:C	ˈɔ s t r ɘ̟	
BELARUSIAN	bel	sharp	1396	sharp	ˈvɔstrɨ	sharp:C	ˈv ɔ s t r ɨ	
UKRAINIAN	ukr	sharp	1396	sharp	ˈɦɔstrɪj	sharp:C	ˈɦ ɔ s t r ɪ j	
SLOVAK	slk	sharp	1396	sharp	ˈɔstriː	sharp:C	ˈɔ s t r iː	
CZECH	ces	sharp	1396	sharp	ˈɔstriː	sharp:C	ˈɔ s t r iː	
SORBIAN_UPPER	hsb	sharp	1396	sharp	ˈwʊtʀɘ̟	sharp:C	ˈw ʊ t ʀ ɘ̟	
SORBIAN_LOWER	dsb	sharp	1396	sharp	ˈwɘ̟tʂɘ̟	sharp:C	ˈw ɘ̟ t ʂ ɘ̟	
SLOVENIAN	slv	sharp	1396	sharp	ˈǒːstər	sharp:C	ˈǒː s t ə r	
OLD_NORSE	non	sharp	1396	sharp	ɣvasː	sharp:H	ɣ v a sː	
OLD_NORSE	non	sharp	1396	sharp	bitr	sharp:K	b i t r	
OLD_NORSE	non	sharp	1396	sharp	skarpr	sharp:B	s k a r p r	
ICELANDIC	isl	sharp	1396	sharp	xʷasː	sharp:H	xʷ a sː	
ICELANDIC	isl	sharp	1396	sharp	ˈskar̥pʰʏr	sharp:B	ˈs k a r̥ pʰ ʏ r	
ICELANDIC	isl	sharp	1396	sharp	ˈb̥eiʰtːʏr	sharp:K	ˈb̥ e iʰ tː ʏ r	
FAROESE	fao	sharp	1396	sharp	ˈb̥iːtʰʊɹ	sharp:K	ˈb̥ iː tʰ ʊ ɹ	
FAROESE	fao	sharp	1396	sharp	ˈskaɹpʰʊɹ	sharp:B	ˈs k a ɹ pʰ ʊ ɹ	
FAROESE	fao	sharp	1396	sharp	ˈkʰvasːʊɹ	sharp:H	ˈkʰ v a sː ʊ ɹ	
NORWEGIAN_RIKSMAL	nor	sharp	1396	sharp	ʋasː	sharp:H	ʋ a sː	
NORWEGIAN_RIKSMAL	nor	sharp	1396	sharp	skaɾp	sharp:B	s k a ɾ p	
STAVANGERSK		sharp	1396	sharp	ˈkʋasːə	sharp:H	ˈk ʋ a sː ə	
STAVANGERSK		sharp	1396	sharp	ˈskaʁpə	sharp:B	ˈs k a ʁ p ə	
OLD_SWEDISH		sharp	1396	sharp	ˈhvasː	sharp:H	ˈh v a sː	
OLD_SWEDISH		sharp	1396	sharp	ˈbiːter	sharp:K	ˈb iː t e r	
OLD_SWEDISH		sharp	1396	sharp	ˈskarper	sharp:B	ˈs k a r p e r	
SWEDISH	swe	sharp	1396	sharp	vasː	sharp:H	v a sː	
SWEDISH	swe	sharp	1396	sharp	skarp	sharp:B	s k a r p	
ELFDALIAN	qov	sharp	1396	sharp	wɑsː	sharp:H	w ɑ sː	
