language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Miyako		I	1209	1209	ban	1	b a n	
Tōkyō		I	1209	1209	watasi	2	w a t a s i	
Amami		I	1209	1209	waɴ	1	w a ɴ	
Kyōto		I	1209	1209	wate	2	w a t e	
Hachijō		I	1209	1209	ware	1	w a r e	
Shuri		I	1209	1209	waɴ	1	w a ɴ	
Kōchi		I	1209	1209	asi	2	a s i	
Sado		I	1209	1209	ore	3	o r e	
Oki		I	1209	1209	ora	3	o r a	
Kagoshima		I	1209	1209	oiː	3	o iː	
Miyako		alive (live)	1422	1422	nːuʦɨduaɭ	454	nː u ts ɨ d ua ɭ	
Tōkyō		alive (live)	1422	1422	ikiteru	455	i k i t e r u	
Amami		alive (live)	1422	1422	ʔikiʨuri	455	ʔ i k i tɕ u r i	
Kyōto		alive (live)	1422	1422	ikiteru	455	i k i t e r u	
Hachijō		alive (live)	1422	1422	ikite	455	i k i t e	
Shuri		alive (live)	1422	1422	ʔiʨiʦoːɴ	455	ʔ i tɕ i ts oː ɴ	
Kōchi		alive (live)	1422	1422	ikitʲuː	455	i k i tʲ uː	
Sado		alive (live)	1422	1422	ikitoru	455	i k i t o r u	
Oki		alive (live)	1422	1422	ekeʨoru	455	e k e tɕ o r u	
Kagoshima		alive (live)	1422	1422	ikiːʨːo	455	i k iː tːɕ o	
Miyako		all	98	98	mːna	24	mː n a	
Tōkyō		all	98	98	miɴna	24	m i ɴ n a	
Amami		all	98	98	ʔaɴxaːri	26	ʔ a ɴ x aː r i	
Kyōto		all	98	98	miɴna	24	m i ɴ n a	
Hachijō		all	98	98	miɴna	24	m i ɴ n a	
Shuri		all	98	98	ɴna	24	ɴ n a	
Kōchi		all	98	98	miɴna	24	m i ɴ n a	
Sado		all	98	98	miɴna	24	m i ɴ n a	
Oki		all	98	98	ɴːna	24	ɴ̩ n a	
Kagoshima		all	98	98	sukːai	25	s u kː ai	
Miyako		arm	1673	1673	udi	289	u d i	
Tōkyō		arm	1673	1673	ude	289	u d e	
Amami		arm	1673	1673	xeːnʲa	291	x eː nʲ a	
Kyōto		arm	1673	1673	teː	290	t eː	
Hachijō		arm	1673	1673	ude	289	u d e	
Shuri		arm	1673	1673	tiː	290	t iː	
Kōchi		arm	1673	1673	ude	289	u d e	
Sado		arm	1673	1673	ude	289	u d e	
Oki		arm	1673	1673	ode	289	o d e	
Kagoshima		arm	1673	1673	te	290	t e	
Miyako		ash	646	646	pazɨ	185	p a z ɨ	
Tōkyō		ash	646	646	hai	185	h ai	
Amami		ash	646	646	hwe	185	h w e	
Kyōto		ash	646	646	hai	185	h ai	
Hachijō		ash	646	646	hia	185	h ia	
Shuri		ash	646	646	hweː	185	h w eː	
Kōchi		ash	646	646	hai	185	h ai	
Sado		ash	646	646	hai	185	h ai	
Oki		ash	646	646	ɸeː	185	ɸ eː	
Kagoshima		ash	646	646	hei	185	h ei	
Miyako		at	1461	1461	n	312	n	
Tōkyō		at	1461	1461	de	313	d e	
Amami		at	1461	1461	naɴθɨ	313	n a ɴ θ ɨ	
Kyōto		at	1461	1461	de	313	d e	
Hachijō		at	1461	1461	de	313	d e	
Shuri		at	1461	1461	uti	313	u t i	
Kōchi		at	1461	1461	de	313	d e	
Sado		at	1461	1461	de	313	d e	
Oki		at	1461	1461	de	313	d e	
Kagoshima		at	1461	1461	de	313	d e	
Tōkyō		back	1291	1291	senaka	283	s e n a k a	
Amami		back	1291	1291	xusi	284	x u s i	
Kyōto		back	1291	1291	senaka	283	s e n a k a	
Hachijō		back	1291	1291	hedaka	282	h e d a k a	
Shuri		back	1291	1291	nagani	285	n a g a n i	
Kōchi		back	1291	1291	senaka	283	s e n a k a	
Sado		back	1291	1291	senaka	283	s e n a k a	
Oki		back	1291	1291	sena	283	s e n a	
Kagoshima		back	1291	1291	senaka	283	s e n a k a	
Miyako		bad	1292	1292	fusaritam	379	f u s a r i t a m	
Tōkyō		bad	1292	1292	kusatːa	379	k u s a tː a	
Amami		bad	1292	1292	kusareθa	379	k u s a r e θ a	
Kyōto		bad	1292	1292	kusatːa	379	k u s a tː a	
Hachijō		bad	1292	1292	kusarua	379	k u s a r ua	
Shuri		bad	1292	1292	kuʦːoːru	379	k u tːs oː r u	
Kōchi		bad	1292	1292	kusatːa	379	k u s a tː a	
Sado		bad	1292	1292	kusatːa	379	k u s a tː a	
Oki		bad	1292	1292	kusatːa	379	k u s a tː a	
Kagoshima		bad	1292	1292	kesːareta	379	k e sː a r e t a	
Miyako		bark (of tree)	1204	1204	kaː	65	k aː	
Tōkyō		bark (of tree)	1204	1204	kawa	65	k a w a	
Amami		bark (of tree)	1204	1204	xɨɴxo	66	x ɨ ɴ x o	
Kyōto		bark (of tree)	1204	1204	kawa	65	k a w a	
Hachijō		bark (of tree)	1204	1204	kua	65	k ua	
Shuri		bark (of tree)	1204	1204	kaː	65	k aː	
Kōchi		bark (of tree)	1204	1204	kawa	65	k a w a	
Sado		bark (of tree)	1204	1204	kawa	65	k a w a	
Oki		bark (of tree)	1204	1204	kawa	65	k a w a	
Kagoshima		bark (of tree)	1204	1204	kawa	65	k a w a	
Miyako		belly	1251	1251	bata	113	b a t a	
Tōkyō		belly	1251	1251	onaka	112	o n a k a	
Amami		belly	1251	1251	waθa	113	w a θ a	
Kyōto		belly	1251	1251	hara	111	h a r a	
Hachijō		belly	1251	1251	hara	111	h a r a	
Shuri		belly	1251	1251	wata	113	w a t a	
Kōchi		belly	1251	1251	hara	111	h a r a	
Sado		belly	1251	1251	hara	111	h a r a	
Oki		belly	1251	1251	ɸara	111	ɸ a r a	
Kagoshima		belly	1251	1251	hara	111	h a r a	
Miyako		big	1202	1202	uku	38	u k u	
Tōkyō		big	1202	1202	oːkiː	38	oː k iː	
Amami		big	1202	1202	hwɨsːari	40	h w ɨ sː a r i	
Kyōto		big	1202	1202	oːkiː	38	oː k iː	
Hachijō		big	1202	1202	boːkʲa	37	b oː kʲ a	
Shuri		big	1202	1202	magisaɴ	41	m a g i s a ɴ	
Kōchi		big	1202	1202	hutoi	39	h u t oi	
Sado		big	1202	1202	oːkiː	38	oː k iː	
Oki		big	1202	1202	ɸuteː	39	ɸ u t eː	
Kagoshima		big	1202	1202	hute	39	h u t e	
Miyako		bird	937	937	tui	60	t ui	
Tōkyō		bird	937	937	tori	60	t o r i	
Amami		bird	937	937	θuri	60	θ u r i	
Kyōto		bird	937	937	tori	60	t o r i	
Hachijō		bird	937	937	torime	60	t o r i m e	
Shuri		bird	937	937	tui	60	t ui	
Kōchi		bird	937	937	tori	60	t o r i	
Sado		bird	937	937	tori	60	t o r i	
Oki		bird	937	937	tori	60	t o r i	
Kagoshima		bird	937	937	toiː	60	t o iː	
Miyako		bite	1403	1403	fuː	127	f uː	
Tōkyō		bite	1403	1403	kamiʦuku	128	k a m i ts u k u	
Amami		bite	1403	1403	kuiʦɨkɨruri	126	k ui ts ɨ k ɨ r u r i	
Kyōto		bite	1403	1403	kamiʦuku	128	k a m i ts u k u	
Hachijō		bite	1403	1403	kuiʦuku	126	k ui ts u k u	
Shuri		bite	1403	1403	kuːjuɴ	126	k uː j u ɴ	
Kōchi		bite	1403	1403	kuituku	126	k ui t u k u	
Sado		bite	1403	1403	kamiʦuku	128	k a m i ts u k u	
Oki		bite	1403	1403	kamu	128	k a m u	
Kagoshima		bite	1403	1403	kaɴʦu	128	k a ɴ ts u	
Miyako		black	163	163	fu	195	f u	
Tōkyō		black	163	163	kuroi	195	k u r oi	
Amami		black	163	163	kurusari	195	k u r u s a r i	
Kyōto		black	163	163	kuroi	195	k u r oi	
Hachijō		black	163	163	kurokʲa	195	k u r o kʲ a	
Shuri		black	163	163	kurusaɴ	195	k u r u s a ɴ	
Kōchi		black	163	163	kuroi	195	k u r oi	
Sado		black	163	163	kuroi	195	k u r oi	
Oki		black	163	163	kureː	195	k u r eː	
Kagoshima		black	163	163	kure	195	k u r e	
Miyako		blood	946	946	akaʦɨ	71	a k a ts ɨ	
Tōkyō		blood	946	946	ʨi	71	tɕ i	
Amami		blood	946	946	ʨi	71	tɕ i	
Kyōto		blood	946	946	ʨiː	71	tɕ iː	
Hachijō		blood	946	946	ʨi	71	tɕ i	
Shuri		blood	946	946	ʨiː	71	tɕ iː	
Kōchi		blood	946	946	ti	71	t i	
Sado		blood	946	946	ʨi	71	tɕ i	
Oki		blood	946	946	ʨi	71	tɕ i	
Kagoshima		blood	946	946	ʨiː	71	tɕ iː	
Miyako		blow	175	175	fːu	435	fː u	
Tōkyō		blow	175	175	huku	435	h u k u	
Amami		blow	175	175	hukuri	435	h u k u r i	
Kyōto		blow	175	175	huku	435	h u k u	
Hachijō		blow	175	175	huku	435	h u k u	
Shuri		blow	175	175	huʦuɴ	435	h u ts u ɴ	
Kōchi		blow	175	175	huku	435	h u k u	
Sado		blow	175	175	huku	435	h u k u	
Oki		blow	175	175	ɸuku	435	ɸ u k u	
Kagoshima		blow	175	175	hu	435	h u	
Miyako		bone	1394	1394	puni	76	p u n i	
Tōkyō		bone	1394	1394	hone	76	h o n e	
Amami		bone	1394	1394	hunɨ	76	h u n ɨ	
Kyōto		bone	1394	1394	hone	76	h o n e	
Hachijō		bone	1394	1394	hone	76	h o n e	
Shuri		bone	1394	1394	huni	76	h u n i	
Kōchi		bone	1394	1394	hone	76	h o n e	
Sado		bone	1394	1394	hone	76	h o n e	
Oki		bone	1394	1394	ɸone	76	ɸ o n e	
Kagoshima		bone	1394	1394	hone	76	h o n e	
Miyako		breast	1402	1402	mːifuʦɨ	116	mː i f u ts ɨ	
Tōkyō		breast	1402	1402	mune	116	m u n e	
Amami		breast	1402	1402	munɨ	116	m u n ɨ	
Kyōto		breast	1402	1402	mune	116	m u n e	
Hachijō		breast	1402	1402	mune	116	m u n e	
Shuri		breast	1402	1402	ɴni	116	ɴ n i	
Kōchi		breast	1402	1402	mune	116	m u n e	
Sado		breast	1402	1402	mune	116	m u n e	
Oki		breast	1402	1402	ɴne	116	ɴ n e	
Kagoshima		breast	1402	1402	muine	116	m ui n e	
Miyako		burn	2102	2102	muiɭ	186	m ui ɭ	
Tōkyō		burn	2102	2102	moeru	186	m o e r u	
Amami		burn	2102	2102	meːruri	186	m eː r u r i	
Kyōto		burn	2102	2102	moeru	186	m o e r u	
Hachijō		burn	2102	2102	mieru	186	m ie r u	
Shuri		burn	2102	2102	meːjuɴ	186	m eː j u ɴ	
Kōchi		burn	2102	2102	moeru	186	m o e r u	
Sado		burn	2102	2102	moeru	186	m o e r u	
Oki		burn	2102	2102	moeru	186	m o e r u	
Kagoshima		burn	2102	2102	moiju	186	m oi j u	
Miyako		child	2099	2099	jarabi	345	j a r a b i	
Tōkyō		child	2099	2099	kodomo	344	k o d o m o	
Amami		child	2099	2099	warabɨ	345	w a r a b ɨ	
Kyōto		child	2099	2099	kodomo	344	k o d o m o	
Hachijō		child	2099	2099	kodomo	344	k o d o m o	
Shuri		child	2099	2099	warabi	345	w a r a b i	
Kōchi		child	2099	2099	kodomo	344	k o d o m o	
Sado		child	2099	2099	kodomo	344	k o d o m o	
Oki		child	2099	2099	kodomo	344	k o d o m o	
Kagoshima		child	2099	2099	koidoɴ	344	k oi d o ɴ	
Miyako		claw	72	72	ʦɨmi	103	ts ɨ m i	
Tōkyō		claw	72	72	ʦume	103	ts u m e	
Amami		claw	72	72	ʦɨmɨ	103	ts ɨ m ɨ	
Kyōto		claw	72	72	ʦume	103	ts u m e	
Hachijō		claw	72	72	ʦume	103	ts u m e	
Shuri		claw	72	72	ɕimi	103	ɕ i m i	
Kōchi		claw	72	72	tume	103	t u m e	
Sado		claw	72	72	ʦume	103	ts u m e	
Oki		claw	72	72	ʦume	103	ts u m e	
Kagoshima		claw	72	72	ʦuime	103	ts ui m e	
Miyako		cloud	1489	1489	fumu	180	f u m u	
Tōkyō		cloud	1489	1489	kumo	180	k u m o	
Amami		cloud	1489	1489	kumo	180	k u m o	
Kyōto		cloud	1489	1489	kumo	180	k u m o	
Hachijō		cloud	1489	1489	kumo	180	k u m o	
Shuri		cloud	1489	1489	kumu	180	k u m u	
Kōchi		cloud	1489	1489	kumo	180	k u m o	
Sado		cloud	1489	1489	kumo	180	k u m o	
Oki		cloud	1489	1489	kumo	180	k u m o	
Kagoshima		cloud	1489	1489	kumo	180	k u m o	
Miyako		cold	1287	1287	piʃi	201	p i ʃ i	
Tōkyō		cold	1287	1287	samui	203	s a m ui	
Amami		cold	1287	1287	higurusari	201	h i g u r u s a r i	
Kyōto		cold	1287	1287	sabui	203	s a b ui	
Hachijō		cold	1287	1287	kogiete	202	k o g ie t e	
Shuri		cold	1287	1287	hwiːsaɴ	201	h w iː s a ɴ	
Kōchi		cold	1287	1287	hijai	201	h i j ai	
Sado		cold	1287	1287	samui	203	s a m ui	
Oki		cold	1287	1287	sabiː	203	s a b iː	
Kagoshima		cold	1287	1287	sami	203	s a m i	
Miyako		come	1446	1446	fuː	147	f uː	
Tōkyō		come	1446	1446	kuru	149	k u r u	
Amami		come	1446	1446	xuri	149	x u r i	
Kyōto		come	1446	1446	kuru	149	k u r u	
Hachijō		come	1446	1446	kuru	149	k u r u	
Shuri		come	1446	1446	ʦuːɴ	148	ts uː ɴ	
Kōchi		come	1446	1446	kuru	149	k u r u	
Sado		come	1446	1446	kuru	149	k u r u	
Oki		come	1446	1446	kuru	149	k u r u	
Kagoshima		come	1446	1446	ku	149	k u	
Miyako		correct (right)	1725	1725	atariːduːɭ	392	a t a r iː d uː ɭ	
Tōkyō		correct (right)	1725	1725	iː	387	iː	
Amami		correct (right)	1725	1725	iʨːari	390	i tːɕ a r i	
Kyōto		correct (right)	1725	1725	eː	387	eː	
Hachijō		correct (right)	1725	1725	jokːja	393	j o kː j a	
Shuri		correct (right)	1725	1725	jutaɕaɴ	391	j u t a ɕ a ɴ	
Kōchi		correct (right)	1725	1725	eː	387	eː	
Sado		correct (right)	1725	1725	tadasiː	388	t a d a s iː	
Oki		correct (right)	1725	1725	eː	387	eː	
Kagoshima		correct (right)	1725	1725	naiːʨo	389	n a iː tɕ o	
Miyako		cut	1432	1432	ʦɨːʦɨː	347	ts ɨː ts ɨː	
Tōkyō		cut	1432	1432	kiru	347	k i r u	
Amami		cut	1432	1432	kiruri	347	k i r u r i	
Kyōto		cut	1432	1432	kiru	347	k i r u	
Hachijō		cut	1432	1432	kiru	347	k i r u	
Shuri		cut	1432	1432	ʨijuɴ	347	tɕ i j u ɴ	
Kōchi		cut	1432	1432	kiru	347	k i r u	
Sado		cut	1432	1432	kiru	347	k i r u	
Oki		cut	1432	1432	kiru	347	k i r u	
Kagoshima		cut	1432	1432	kit	347	k i t	
Miyako		dark	706	706	fːa	346	fː a	
Tōkyō		dark	706	706	kurai	346	k u r ai	
Amami		dark	706	706	kurasari	346	k u r a s a r i	
Kyōto		dark	706	706	kurai	346	k u r ai	
Hachijō		dark	706	706	kurakʲa	346	k u r a kʲ a	
Shuri		dark	706	706	kurasaɴ	346	k u r a s a ɴ	
Kōchi		dark	706	706	kurai	346	k u r ai	
Sado		dark	706	706	kurai	346	k u r ai	
Oki		dark	706	706	kureː	346	k u r eː	
Kagoshima		dark	706	706	kuire	346	k ui r e	
Miyako		day	1225	1225	sɨkama	263	s ɨ k a m a	
Tōkyō		day	1225	1225	hiruma	262	h i r u m a	
Amami		day	1225	1225	hiruhiɴma	262	h i r u h i ɴ m a	
Kyōto		day	1225	1225	hiruma	262	h i r u m a	
Hachijō		day	1225	1225	hiruma	262	h i r u m a	
Shuri		day	1225	1225	hwiru	262	h w i r u	
Kōchi		day	1225	1225	hiruma	262	h i r u m a	
Sado		day	1225	1225	hiruma	262	h i r u m a	
Oki		day	1225	1225	ɸiru	262	ɸ i r u	
Kagoshima		day	1225	1225	hiːi	262	h iː i	
Miyako		die	1494	1494	sɨn	138	s ɨ n	
Tōkyō		die	1494	1494	sinu	138	s i n u	
Amami		die	1494	1494	simʲuri	138	s i mʲ u r i	
Kyōto		die	1494	1494	sinu	138	s i n u	
Hachijō		die	1494	1494	marubu	137	m a r u b u	
Shuri		die	1494	1494	sinuɴ	138	s i n u ɴ	
Kōchi		die	1494	1494	sinuru	138	s i n u r u	
Sado		die	1494	1494	sinu	138	s i n u	
Oki		die	1494	1494	sinoru	138	s i n o r u	
Kagoshima		die	1494	1494	siːɴ	138	s iː ɴ	
Miyako		dig	1418	1418	puɭ	414	p u ɭ	
Tōkyō		dig	1418	1418	horu	414	h o r u	
Amami		dig	1418	1418	hururi	414	h u r u r i	
Kyōto		dig	1418	1418	horu	414	h o r u	
Hachijō		dig	1418	1418	horu	414	h o r u	
Shuri		dig	1418	1418	hujuɴ	414	h u j u ɴ	
Kōchi		dig	1418	1418	horu	414	h o r u	
Sado		dig	1418	1418	horu	414	h o r u	
Oki		dig	1418	1418	horu	414	h o r u	
Kagoshima		dig	1418	1418	ho	414	h o	
Miyako		dirty	1230	1230	ʃːanagi	375	ʃː a n a g i	
Tōkyō		dirty	1230	1230	kitanai	370	k i t a n ai	
Amami		dirty	1230	1230	janagesari	373	j a n a g e s a r i	
Kyōto		dirty	1230	1230	kitanai	370	k i t a n ai	
Hachijō		dirty	1230	1230	kitanakʲa	370	k i t a n a kʲ a	
