language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
North Mansi		I	1209	1209	am	82	a m	
Middle Lozva Mansi		I	1209	1209	æm	82	æ m	
Lower Lozva Mansi		I	1209	1209	am	82	a m	
Pelymka Mansi		I	1209	1209	ɔm	82	ɔ m	
Konda Mansi		I	1209	1209	ɔm	82	ɔ m	
Tavda Mansi		I	1209	1209	æm	82	æ m	
Vakh Khanty		I	1209	1209	mæː	82	m æː	
Vasjugan Khanty		I	1209	1209	mæː	82	m æː	
Tremjugan Khanty		I	1209	1209	mæː	82	m æː	
Jugan Khanty		I	1209	1209	mæː	82	m æː	
Upper Demjanka Khanty		I	1209	1209	mæːn	82	m æː n	
Konda Khanty		I	1209	1209	mæn	82	m æ n	
Nizjam Khanty		I	1209	1209	maː	82	m aː	
Sherkaly Khanty		I	1209	1209	maː	82	m aː	
Kazym Khanty		I	1209	1209	maː	82	m aː	
Synja Khanty		I	1209	1209	maː	82	m aː	
Obdorsk Khanty		I	1209	1209	mæː	82	m æː	
North Mansi		all	98	98	pusən	1	p u s ə n	
Middle Lozva Mansi		all	98	98	puʃn	1	p u ʃ n	
Lower Lozva Mansi		all	98	98	ʃaq	2	ʃ a q	
Pelymka Mansi		all	98	98	ʃoq	2	ʃ o q	
Konda Mansi		all	98	98	soq	2	s o q	
Tavda Mansi		all	98	98	ʃɔχ	2	ʃ ɔ χ	
Vakh Khanty		all	98	98	ejnæːm	3	e j n æː m	
Verkhne-Kalymsk Khanty		all	98	98	ejnæːm	3	e j n æː m	
Vartovskoje Khanty		all	98	98	ejnæːm	3	e j n æː m	
Likrisovskoje Khanty		all	98	98	ejnæːm	3	e j n æː m	
Malyj Jugan Khanty		all	98	98	ejnæːm	3	e j n æː m	
Tremjugan Khanty		all	98	98	ejnæːm	3	e j n æː m	
Jugan Khanty		all	98	98	ejnæːm	3	e j n æː m	
Upper Demjanka Khanty		all	98	98	χarnaː	4	χ a r n aː	
Konda Khanty		all	98	98	pertæː	5	p e r t æː	
Nizjam Khanty		all	98	98	isaχaːt	6	i s a χ aː t	
Sherkaly Khanty		all	98	98	isaːt	6	i s aː t	
Kazym Khanty		all	98	98	isaː	6	i s aː	
Synja Khanty		all	98	98	isaː	6	i s aː	
North Mansi		ashes	646	646	χuʎəm	8	χ u ʎ ə m	
Middle Lozva Mansi		ashes	646	646	quʎəm	8	q u ʎ ə m	
Lower Lozva Mansi		ashes	646	646	quʎəm	8	q u ʎ ə m	
Konda Mansi		ashes	646	646	quʎəm	8	q u ʎ ə m	
Tavda Mansi		ashes	646	646	qoːʎəm	8	q oː ʎ ə m	
Vakh Khanty		ashes	646	646	pæːr	9	p æː r	
Vasjugan Khanty		ashes	646	646	pæːr	9	p æː r	
Tremjugan Khanty		ashes	646	646	næːjpæːr	9	n æː j p æː r	
Jugan Khanty		ashes	646	646	næːjpæːr	9	n æː j p æː r	
Upper Demjanka Khanty		ashes	646	646	χoːjəm	8	χ oː j ə m	
Konda Khanty		ashes	646	646	χoːjəm	8	χ oː j ə m	
Nizjam Khanty		ashes	646	646	χɔːjəm	8	χ ɔː j ə m	
Sherkaly Khanty		ashes	646	646	χɔːjəm	8	χ ɔː j ə m	
Kazym Khanty		ashes	646	646	raːtχiʃ	7	r aː t χ i ʃ	
Obdorsk Khanty		ashes	646	646	ræːtχis	7	r æː t χ i s	
Vakh Khanty		bark	1204	1204	kæːr	11	k æː r	
Verkhne-Kalymsk Khanty		bark	1204	1204	kæːr	11	k æː r	
Vasjugan Khanty		bark	1204	1204	kæːr	11	k æː r	
Likrisovskoje Khanty		bark	1204	1204	kæːr	11	k æː r	
Malyj Jugan Khanty		bark	1204	1204	kæːr	11	k æː r	
Tremjugan Khanty		bark	1204	1204	kæːr	11	k æː r	
Jugan Khanty		bark	1204	1204	kæːr	11	k æː r	
Upper Demjanka Khanty		bark	1204	1204	kæːr	11	k æː r	
Konda Khanty		bark	1204	1204	kæːr	11	k æː r	
Nizjam Khanty		bark	1204	1204	kaːr	11	k aː r	
Kazym Khanty		bark	1204	1204	kaːr	11	k aː r	
Obdorsk Khanty		bark	1204	1204	kæːr	11	k æː r	
North Mansi		belly	1251	1251	sorɨɣ	12	s o r ɨ ɣ	
Middle Lozva Mansi		belly	1251	1251	sɔr	12	s ɔ r	
Pelymka Mansi		belly	1251	1251	sori	12	s o r i	
Vakh Khanty		belly	1251	1251	koɳ	13	k o ɳ	
Verkhne-Kalymsk Khanty		belly	1251	1251	koɳ	13	k o ɳ	
Vasjugan Khanty		belly	1251	1251	koɳ	13	k o ɳ	
Vartovskoje Khanty		belly	1251	1251	koɳ	13	k o ɳ	
Likrisovskoje Khanty		belly	1251	1251	koɳ	13	k o ɳ	
Malyj Jugan Khanty		belly	1251	1251	kon	13	k o n	
Tremjugan Khanty		belly	1251	1251	koɳ	13	k o ɳ	
Jugan Khanty		belly	1251	1251	kon	13	k o n	
Upper Demjanka Khanty		belly	1251	1251	poːrəχ	14	p oː r ə χ	
Konda Khanty		belly	1251	1251	χon	13	χ o n	
Nizjam Khanty		belly	1251	1251	χon	13	χ o n	
Sherkaly Khanty		belly	1251	1251	χon	13	χ o n	
Kazym Khanty		belly	1251	1251	χoɳ	13	χ o ɳ	
Synja Khanty		belly	1251	1251	χoɳ	13	χ o ɳ	
Obdorsk Khanty		belly	1251	1251	χon	13	χ o n	
North Mansi		big	1202	1202	jænɨɣ	15	j æ n ɨ ɣ	
Middle Lozva Mansi		big	1202	1202	jæni	15	j æ n i	
Lower Lozva Mansi		big	1202	1202	jæni	15	j æ n i	
Pelymka Mansi		big	1202	1202	jæni	15	j æ n i	
Konda Mansi		big	1202	1202	jæni	15	j æ n i	
Tavda Mansi		big	1202	1202	jænu	15	j æ n u	
Vakh Khanty		big	1202	1202	eɭɭə	15	e ɭː ə	
Verkhne-Kalymsk Khanty		big	1202	1202	eɭə	15	e ɭ ə	
Vasjugan Khanty		big	1202	1202	eɭɭə	15	e ɭː ə	
Vartovskoje Khanty		big	1202	1202	eɭə	15	e ɭ ə	
Likrisovskoje Khanty		big	1202	1202	eɭə	15	e ɭ ə	
Malyj Jugan Khanty		big	1202	1202	enɬ	15	e n ɬ	
Tremjugan Khanty		big	1202	1202	enɬ	15	e n ɬ	
Jugan Khanty		big	1202	1202	entɬ	15	e n t ɬ	
Upper Demjanka Khanty		big	1202	1202	eːnə	15	eː n ə	
Konda Khanty		big	1202	1202	eːnə	15	eː n ə	
Nizjam Khanty		big	1202	1202	uːnə	16	uː n ə	
Sherkaly Khanty		big	1202	1202	uːnə	16	uː n ə	
Kazym Khanty		big	1202	1202	wɵːn	16	w ɵː n	
Synja Khanty		big	1202	1202	uːn	16	uː n	
North Mansi		bird	937	937	tɔwləŋuj	17	t ɔ w l ə ŋ u j	
Middle Lozva Mansi		bird	937	937	tɔuləŋuj	17	t ɔu l ə ŋ u j	
Lower Lozva Mansi		bird	937	937	uj	17	u j	
Pelymka Mansi		bird	937	937	wuj	17	w u j	
Konda Mansi		bird	937	937	wuj	17	w u j	
Tavda Mansi		bird	937	937	sosqol	18	s o s q o l	
Vakh Khanty		bird	937	937	waːjəɣ	17	w aː j ə ɣ	
Vasjugan Khanty		bird	937	937	waːjəɣ	17	w aː j ə ɣ	
Tremjugan Khanty		bird	937	937	toɣɬəŋwɔːjəɣ	17	t o ɣ ɬ ə ŋ w ɔː j ə ɣ	
