language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Ka-Gazli 1	kaz	one	1493	one	bɪr	A	b ɪ r	Origin: Turkic
Ka-Gazli 1	kaz	two	1498	two	jekə	A	j e k ə	Origin: Turkic
Ka-Gazli 1	kaz	three	492	three	ʉʃʲ	A	ʉ ʃʲ	Origin: Turkic
Ka-Gazli 1	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Gazli 1	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Gazli 1	kaz	big	1202	big	ʉlkɪn	A	ʉ l k ɪ n	Origin: Turkic
Ka-Gazli 1	kaz	long	1203	long	ɔzaq	A	ɔ z a q	Origin: Turkic
Ka-Gazli 1	kaz	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ka-Gazli 1	kaz	thick	1244	thick	ʒwɒn	A	ʒ w ɒ n	Origin: Turkic
Ka-Gazli 2	kaz	one	1493	one	brɪw	A	b r ɪ w	Origin: Turkic
Ka-Gazli 2	kaz	two	1498	two	jekə	A	j e k ə	Origin: Turkic
Ka-Gazli 2	kaz	three	492	three	ʉʃʲ	A	ʉ ʃʲ	Origin: Turkic
Ka-Gazli 2	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Gazli 2	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Gazli 2	kaz	big	1202	big	ʉlkɪn	A	ʉ l k ɪ n	Origin: Turkic
Ka-Gazli 2	kaz	long	1203	long	ʉzaq	A	ʉ z a q	Origin: Turkic
Ka-Gazli 2	kaz	wide	1243	wide	kʲiŋ	A	kʲ i ŋ	Origin: Turkic
Ka-Gazli 2	kaz	thick	1244	thick	ʒuwãn	A	ʒ u w ã n	Origin: Turkic
Ka-Gazli 3	kaz	one	1493	one	bɪrɪw	A	b ɪ r ɪ w	Origin: Turkic
Ka-Gazli 3	kaz	two	1498	two	jɪkjew	A	j ɪ k j e w	Origin: Turkic
Ka-Gazli 3	kaz	three	492	three	ʉʃʲjʊː	A	ʉ ʃʲ j ʊː	Origin: Turkic
Ka-Gazli 3	kaz	four	1500	four	twørt	A	t w ø r t	Origin: Turkic
Ka-Gazli 3	kaz	five	493	five	bʲes	A	bʲ e s	Origin: Turkic
Ka-Gazli 3	kaz	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
Ka-Gazli 3	kaz	long	1203	long	kwøwaxə	B	k w ø w a x ə	Origin: Turkic
Ka-Gazli 3	kaz	thick	1244	thick	sʲemɪz̥	B	sʲ e m ɪ z̥	Origin: Turkic
Ka-Gazli 4	kaz	two	1498	two	jɪkə	A	j ɪ k ə	Origin: Turkic
Ka-Gazli 4	kaz	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
Ka-Gazli 4	kaz	four	1500	four	tʲørt	A	tʲ ø r t	Origin: Turkic
Ka-Gazli 4	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Gazli 4	kaz	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
Ka-Gazli 4	kaz	long	1203	long	ʉzaq	A	ʉ z a q	Origin: Turkic
Ka-Gazli 4	kaz	wide	1243	wide	jende	B	j e n d e	Origin: Turkic
Ka-Gazli 4	kaz	thick	1244	thick	sʲeməz̥	B	sʲ e m ə z̥	Origin: Turkic
Ka-Gazli 5	kaz	one	1493	one	brɪw	A	b r ɪ w	Origin: Turkic
Ka-Gazli 5	kaz	two	1498	two	jeka	A	j e k a	Origin: Turkic
Ka-Gazli 5	kaz	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
Ka-Gazli 5	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Gazli 5	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Gazli 5	kaz	big	1202	big	ylken	A	y l k e n	Origin: Turkic
Ka-Gazli 5	kaz	long	1203	long	ɔzaq	A	ɔ z a q	Origin: Turkic
Ka-Gazli 5	kaz	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ka-Gazli 5	kaz	thick	1244	thick	sʲeməz̥	B	sʲ e m ə z̥	Origin: Turkic
Ka-Gazli 6	kaz	one	1493	one	brɪw	A	b r ɪ w	Origin: Turkic
Ka-Gazli 6	kaz	two	1498	two	jekʲew	A	j e kʲ e w	Origin: Turkic
Ka-Gazli 6	kaz	three	492	three	ʃuː	A	ʃ uː	Origin: Turkic
Ka-Gazli 6	kaz	four	1500	four	tørtʲew	B	t ø r tʲ e w	Origin: Turkic
Ka-Gazli 6	kaz	five	493	five	bʲes	A	bʲ e s	Origin: Turkic
Ka-Gazli 6	kaz	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
Ka-Gazli 6	kaz	long	1203	long	ɔzaq	A	ɔ z a q	Origin: Turkic
Ka-Gazli 6	kaz	wide	1243	wide	kʲɪŋ	A	kʲ ɪ ŋ	Origin: Turkic
Ka-Gazli 6	kaz	thick	1244	thick	qalən	C	q a l ə n	Origin: Turkic
Ka-Gazli 7	kaz	one	1493	one	bɪr	A	b ɪ r	Origin: Turkic
Ka-Gazli 7	kaz	two	1498	two	jɪkə	A	j ɪ k ə	Origin: Turkic
Ka-Gazli 7	kaz	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
Ka-Gazli 7	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Gazli 7	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Gazli 7	kaz	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
Ka-Gazli 7	kaz	long	1203	long	købrik	C	k ø b r i k	Origin: Turkic
Ka-Gazli 7	kaz	thick	1244	thick	sʲemɪz̥	B	sʲ e m ɪ z̥	Origin: Turkic
Ka-Raushan 1	kaz	one	1493	one	bər	A	b ə r	Origin: Turkic
Ka-Raushan 1	kaz	two	1498	two	jikə	A	j i k ə	Origin: Turkic
Ka-Raushan 1	kaz	three	492	three	yʃ	A	y ʃ	Origin: Turkic
Ka-Raushan 1	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Raushan 1	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Raushan 1	kaz	big	1202	big	ʉlkɛn	A	ʉ l k ɛ n	Origin: Turkic
Ka-Raushan 1	kaz	long	1203	long	uzaq	A	u z a q	Origin: Turkic
Ka-Raushan 1	kaz	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ka-Raushan 1	kaz	thick	1244	thick	tɔntaq	D	t ɔ n t a q	Origin: Turkic
Ka-Raushan 2	kaz	one	1493	one	bər	A	b ə r	Origin: Turkic
Ka-Raushan 2	kaz	two	1498	two	jɪkə	A	j ɪ k ə	Origin: Turkic
Ka-Raushan 2	kaz	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ka-Raushan 2	kaz	four	1500	four	tœrt	A	t œ r t	Origin: Turkic
Ka-Raushan 2	kaz	five	493	five	bʲɪʃ	A	bʲ ɪ ʃ	Origin: Turkic
Ka-Raushan 2	kaz	big	1202	big	ʉlkɛn	A	ʉ l k ɛ n	Origin: Turkic
Ka-Raushan 2	kaz	long	1203	long	uzaq	A	u z a q	Origin: Turkic
Ka-Raushan 2	kaz	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ka-Raushan 2	kaz	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
Ka-Raushan 3	kaz	one	1493	one	bər	A	b ə r	Origin: Turkic
Ka-Raushan 3	kaz	two	1498	two	jɪke	A	j ɪ k e	Origin: Turkic
Ka-Raushan 3	kaz	three	492	three	øʃ	A	ø ʃ	Origin: Turkic
Ka-Raushan 3	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Raushan 3	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Raushan 3	kaz	big	1202	big	ʉlkən	A	ʉ l k ə n	Origin: Turkic
Ka-Raushan 3	kaz	long	1203	long	alɨs	D	a l ɨ s	Origin: Turkic
Ka-Raushan 3	kaz	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ka-Raushan 3	kaz	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
Ka-Raushan 4	kaz	one	1493	one	bər	A	b ə r	Origin: Turkic
Ka-Raushan 4	kaz	two	1498	two	jɪkə	A	j ɪ k ə	Origin: Turkic
Ka-Raushan 4	kaz	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
Ka-Raushan 4	kaz	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ka-Raushan 4	kaz	five	493	five	bʲɪs	A	bʲ ɪ s	Origin: Turkic
Ka-Raushan 4	kaz	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
Ka-Raushan 4	kaz	long	1203	long	uzaq	A	u z a q	Origin: Turkic
Ka-Raushan 4	kaz	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ka-Raushan 4	kaz	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
Ki-Akmuz 1	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Akmuz 1	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Akmuz 1	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Akmuz 1	kir	four	1500	four	tort	A	t o r t	Origin: Turkic
Ki-Akmuz 1	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Akmuz 1	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Akmuz 1	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Akmuz 1	kir	wide	1243	wide	deneŋ	C	d e n e ŋ	Origin: Turkic
Ki-Akmuz 1	kir	thick	1244	thick	tɔlɨq	E	t ɔ l ɨ q	Origin: Turkic
Ki-Akmuz 2	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Akmuz 2	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Akmuz 2	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Akmuz 2	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Akmuz 2	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Akmuz 2	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Akmuz 2	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Akmuz 2	kir	wide	1243	wide	ʤazɨ	D	ʤ a z ɨ	Origin: Turkic
Ki-Akmuz 2	kir	thick	1244	thick	sʲemɪz̥	B	sʲ e m ɪ z̥	Origin: Turkic
Ki-Akmuz 3	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Akmuz 3	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Akmuz 3	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Akmuz 3	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Akmuz 3	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Akmuz 3	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Akmuz 3	kir	long	1203	long	køpkø	E	k ø p k ø	Origin: Turkic
Ki-Akmuz 3	kir	thick	1244	thick	sʲemiz̥	B	sʲ e m i z̥	Origin: Turkic
Ki-Barskoon	kir	one	1493	one	bir̯	A	b i r̯	Origin: Turkic
Ki-Barskoon	kir	two	1498	two	jekɪ	A	j e k ɪ	Origin: Turkic
Ki-Barskoon	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Barskoon	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Barskoon	kir	five	493	five	bʲɪʃ	A	bʲ ɪ ʃ	Origin: Turkic
Ki-Barskoon	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Barskoon	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Barskoon	kir	wide	1243	wide	kʲɛn	A	kʲ ɛ n	Origin: Turkic
Ki-Barskoon	kir	thick	1244	thick	ʤɔːn	A	ʤ ɔː n	Origin: Turkic
Ki-Kulanak 1	kir	one	1493	one	bir̯	A	b i r̯	Origin: Turkic
Ki-Kulanak 1	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Kulanak 1	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Kulanak 1	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Kulanak 1	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Kulanak 1	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Kulanak 1	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Kulanak 1	kir	wide	1243	wide	denen	C	d e n e n	Origin: Turkic
Ki-Kulanak 1	kir	thick	1244	thick	tɔlɜq	E	t ɔ l ɜ q	Origin: Turkic
Ki-Kulanak 2	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Kulanak 2	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Kulanak 2	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Kulanak 2	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Kulanak 2	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Kulanak 2	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Kulanak 2	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Kulanak 2	kir	wide	1243	wide	ʤazɨ	D	ʤ a z ɨ	Origin: Turkic
Ki-Kulanak 2	kir	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
Ki-Kulanak 3	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Kulanak 3	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Kulanak 3	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Kulanak 3	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Kulanak 3	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Kulanak 3	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Kulanak 3	kir	long	1203	long	uzɒχ	A	u z ɒ χ	Origin: Turkic
Ki-Kulanak 3	kir	wide	1243	wide	denen	C	d e n e n	Origin: Turkic
Ki-Kulanak 3	kir	thick	1244	thick	sʲemiz̥	B	sʲ e m i z̥	Origin: Turkic
Ki-Kulanak 4	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Kulanak 4	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Kulanak 4	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Kulanak 4	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Kulanak 4	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Kulanak 4	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Kulanak 4	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Kulanak 4	kir	wide	1243	wide	ʤazɨ	D	ʤ a z ɨ	Origin: Turkic
Ki-Kulanak 4	kir	thick	1244	thick	ʤɔːn	A	ʤ ɔː n	Origin: Turkic
Ki-Kulanak 5	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Kulanak 5	kir	two	1498	two	jeki	A	j e k i	Origin: Turkic
Ki-Kulanak 5	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Kulanak 5	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Kulanak 5	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Kulanak 5	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Kulanak 5	kir	long	1203	long	uzɔʁ	A	u z ɔ ʁ	Origin: Turkic
Ki-Kulanak 5	kir	wide	1243	wide	deneŋ	C	d e n e ŋ	Origin: Turkic
Ki-Kulanak 5	kir	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
Ki-Orday 1	kir	one	1493	one	bɪr	A	b ɪ r	Origin: Turkic
Ki-Orday 1	kir	two	1498	two	jikʲe	A	j i kʲ e	Origin: Turkic
Ki-Orday 1	kir	three	492	three	ʉʧ	A	ʉ ʧ	Origin: Turkic
Ki-Orday 1	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Orday 1	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Orday 1	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Orday 1	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Orday 1	kir	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ki-Orday 1	kir	thick	1244	thick	ʒɔːn	A	ʒ ɔː n	Origin: Turkic
Ki-Orday 2	kir	one	1493	one	bər	A	b ə r	Origin: Turkic
Ki-Orday 2	kir	two	1498	two	ɛkkɪ	A	ɛ kk ɪ	Origin: Turkic
Ki-Orday 2	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Orday 2	kir	four	1500	four	tør	A	t ø r	Origin: Turkic
Ki-Orday 2	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Orday 2	kir	big	1202	big	katta	C	k a tt a	Origin: Turkic
Ki-Orday 2	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Orday 2	kir	wide	1243	wide	kʲɪŋ	A	kʲ ɪ ŋ	Origin: Turkic
Ki-Orday 2	kir	thick	1244	thick	sʲemɨs	B	sʲ e m ɨ s	Origin: Turkic
Ki-Orday 3	kir	one	1493	one	bɪʃ	A	b ɪ ʃ	Origin: Turkic
Ki-Orday 3	kir	two	1498	two	ɛkʲɪ	A	ɛ kʲ ɪ	Origin: Turkic
Ki-Orday 3	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Orday 3	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Orday 3	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Orday 3	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Orday 3	kir	long	1203	long	alɨs	D	a l ɨ s	Origin: Turkic
Ki-Orday 3	kir	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
Ki-Orday 3	kir	thick	1244	thick	sʲemɨs	B	sʲ e m ɨ s	Origin: Turkic
Ki-Orday 4	kir	one	1493	one	biʃ	A	b i ʃ	Origin: Turkic
Ki-Orday 4	kir	two	1498	two	ɛkkʲɪ	A	ɛ k kʲ ɪ	Origin: Turkic
Ki-Orday 4	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Orday 4	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Orday 4	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Orday 4	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Orday 4	kir	long	1203	long	alɨs	D	a l ɨ s	Origin: Turkic
Ki-Orday 4	kir	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
Ki-Tamga	kir	one	1493	one	bir	A	b i r	Origin: Turkic
Ki-Tamga	kir	two	1498	two	jeke	A	j e k e	Origin: Turkic
Ki-Tamga	kir	three	492	three	yʧ	A	y ʧ	Origin: Turkic
Ki-Tamga	kir	four	1500	four	tørt	A	t ø r t	Origin: Turkic
Ki-Tamga	kir	five	493	five	bʲeʃ	A	bʲ e ʃ	Origin: Turkic
Ki-Tamga	kir	big	1202	big	ʧɔŋ	B	ʧ ɔ ŋ	Origin: Turkic
Ki-Tamga	kir	long	1203	long	uzɒq	A	u z ɒ q	Origin: Turkic
Ki-Tamga	kir	wide	1243	wide	kʲɛn	A	kʲ ɛ n	Origin: Turkic
Ki-Tamga	kir	thick	1244	thick	ʤɔːn	A	ʤ ɔː n	Origin: Turkic
KK-Halqabad 1	kaa	one	1493	one	bər	A	b ə r	Origin: Turkic
KK-Halqabad 1	kaa	two	1498	two	jɪkɐ	A	j ɪ k ɐ	Origin: Turkic
KK-Halqabad 1	kaa	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
KK-Halqabad 1	kaa	four	1500	four	tørt	A	t ø r t	Origin: Turkic
KK-Halqabad 1	kaa	five	493	five	bʲes	A	bʲ e s	Origin: Turkic
KK-Halqabad 1	kaa	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
KK-Halqabad 1	kaa	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
KK-Halqabad 1	kaa	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
KK-Halqabad 2	kaa	one	1493	one	bər	A	b ə r	Origin: Turkic
KK-Halqabad 2	kaa	two	1498	two	jɪkɐ	A	j ɪ k ɐ	Origin: Turkic
KK-Halqabad 2	kaa	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
KK-Halqabad 2	kaa	four	1500	four	tørt	A	t ø r t	Origin: Turkic
KK-Halqabad 2	kaa	five	493	five	bʲes	A	bʲ e s	Origin: Turkic
KK-Halqabad 2	kaa	big	1202	big	ʉlken	A	ʉ l k e n	Origin: Turkic
KK-Halqabad 2	kaa	long	1203	long	uzaq	A	u z a q	Origin: Turkic
KK-Halqabad 2	kaa	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
KK-Halqabad 2	kaa	thick	1244	thick	sʲemɨz̥	B	sʲ e m ɨ z̥	Origin: Turkic
KK-Halqabad 3	kaa	one	1493	one	bər	A	b ə r	Origin: Turkic
KK-Halqabad 3	kaa	two	1498	two	jɪkə	A	j ɪ k ə	Origin: Turkic
KK-Halqabad 3	kaa	three	492	three	ʉʃ	A	ʉ ʃ	Origin: Turkic
KK-Halqabad 3	kaa	four	1500	four	tørt	A	t ø r t	Origin: Turkic
KK-Halqabad 3	kaa	five	493	five	bʲes	A	bʲ e s	Origin: Turkic
KK-Halqabad 3	kaa	big	1202	big	ʉlkøn	A	ʉ l k ø n	Origin: Turkic
KK-Halqabad 3	kaa	long	1203	long	uzaq	A	u z a q	Origin: Turkic
KK-Halqabad 3	kaa	wide	1243	wide	kʲeŋ	A	kʲ e ŋ	Origin: Turkic
KK-Halqabad 3	kaa	thick	1244	thick	ʒʊwan	A	ʒ ʊ w a n	Origin: Turkic
KK-Kokdarya 1	kaa	one	1493	one	bər	A	b ə r	Origin: Turkic
